year,game,week,home,team,score,abbrev,win
2015,0,1,FALSE,4,111,BILL,TRUE
2015,0,1,TRUE,7,99,GRIZ,FALSE
2015,1,1,FALSE,8,107,CHAR,TRUE
2015,1,1,TRUE,5,74,CART,FALSE
2015,2,1,FALSE,1,100,AGUS,FALSE
2015,2,1,TRUE,2,117,ROWN,TRUE
2015,3,1,FALSE,3,74,PEPE,FALSE
2015,3,1,TRUE,6,111,KIER,TRUE
2015,4,2,FALSE,8,94,CHAR,TRUE
2015,4,2,TRUE,4,67,BILL,FALSE
2015,5,2,FALSE,7,65,GRIZ,TRUE
2015,5,2,TRUE,1,61,AGUS,FALSE
2015,6,2,FALSE,5,86,CART,TRUE
2015,6,2,TRUE,3,82,PEPE,FALSE
2015,7,2,FALSE,2,102,ROWN,TRUE
2015,7,2,TRUE,6,85,KIER,FALSE
2015,8,3,FALSE,4,139,BILL,TRUE
2015,8,3,TRUE,1,87,AGUS,FALSE
2015,9,3,FALSE,3,121,PEPE,TRUE
2015,9,3,TRUE,8,93,CHAR,FALSE
2015,10,3,FALSE,6,148,KIER,TRUE
2015,10,3,TRUE,7,71,GRIZ,FALSE
2015,11,3,FALSE,2,77,ROWN,FALSE
2015,11,3,TRUE,5,97,CART,TRUE
2015,12,4,FALSE,3,84,PEPE,TRUE
2015,12,4,TRUE,4,72,BILL,FALSE
2015,13,4,FALSE,1,69,AGUS,FALSE
2015,13,4,TRUE,6,94,KIER,TRUE
2015,14,4,FALSE,8,69,CHAR,TRUE
2015,14,4,TRUE,2,68,ROWN,FALSE
2015,15,4,FALSE,7,103,GRIZ,TRUE
2015,15,4,TRUE,5,79,CART,FALSE
2015,16,5,FALSE,4,113,BILL,TRUE
2015,16,5,TRUE,6,106,KIER,FALSE
2015,17,5,FALSE,2,75,ROWN,TRUE
2015,17,5,TRUE,3,69,PEPE,FALSE
2015,18,5,FALSE,5,97,CART,TRUE
2015,18,5,TRUE,1,67,AGUS,FALSE
2015,19,5,FALSE,7,104,GRIZ,FALSE
2015,19,5,TRUE,8,112,CHAR,TRUE
2015,20,6,FALSE,2,104,ROWN,TRUE
2015,20,6,TRUE,4,87,BILL,FALSE
2015,21,6,FALSE,6,113,KIER,TRUE
2015,21,6,TRUE,5,107,CART,FALSE
2015,22,6,FALSE,3,129,PEPE,TRUE
2015,22,6,TRUE,7,82,GRIZ,FALSE
2015,23,6,FALSE,1,51,AGUS,FALSE
2015,23,6,TRUE,8,83,CHAR,TRUE
2015,24,7,FALSE,4,119,BILL,TRUE
2015,24,7,TRUE,5,91,CART,FALSE
2015,25,7,FALSE,7,106,GRIZ,FALSE
2015,25,7,TRUE,2,123,ROWN,TRUE
2015,26,7,FALSE,8,69,CHAR,FALSE
2015,26,7,TRUE,6,117,KIER,TRUE
2015,27,7,FALSE,1,90,AGUS,FALSE
2015,27,7,TRUE,3,97,PEPE,TRUE
2015,28,8,FALSE,7,76,GRIZ,FALSE
2015,28,8,TRUE,4,126,BILL,TRUE
2015,29,8,FALSE,5,113,CART,TRUE
2015,29,8,TRUE,8,89,CHAR,FALSE
2015,30,8,FALSE,2,82,ROWN,TRUE
2015,30,8,TRUE,1,60,AGUS,FALSE
2015,31,8,FALSE,6,72,KIER,FALSE
2015,31,8,TRUE,3,91,PEPE,TRUE
2015,32,9,FALSE,4,104,BILL,TRUE
2015,32,9,TRUE,8,94,CHAR,FALSE
2015,33,9,FALSE,1,90,AGUS,TRUE
2015,33,9,TRUE,7,73,GRIZ,FALSE
2015,34,9,FALSE,3,77,PEPE,FALSE
2015,34,9,TRUE,5,126,CART,TRUE
2015,35,9,FALSE,6,137,KIER,TRUE
2015,35,9,TRUE,2,110,ROWN,FALSE
2015,36,10,FALSE,1,67,AGUS,FALSE
2015,36,10,TRUE,4,109,BILL,TRUE
2015,37,10,FALSE,8,97,CHAR,TRUE
2015,37,10,TRUE,3,88,PEPE,FALSE
2015,38,10,FALSE,7,64,GRIZ,FALSE
2015,38,10,TRUE,6,106,KIER,TRUE
2015,39,10,FALSE,5,82,CART,TRUE
2015,39,10,TRUE,2,72,ROWN,FALSE
2015,40,11,FALSE,4,69,BILL,TRUE
2015,40,11,TRUE,3,60,PEPE,FALSE
2015,41,11,FALSE,6,91,KIER,TRUE
2015,41,11,TRUE,1,61,AGUS,FALSE
2015,42,11,FALSE,2,54,ROWN,FALSE
2015,42,11,TRUE,8,73,CHAR,TRUE
2015,43,11,FALSE,5,98,CART,TRUE
2015,43,11,TRUE,7,98,GRIZ,TRUE
2015,44,12,FALSE,6,116,KIER,TRUE
2015,44,12,TRUE,4,83,BILL,FALSE
2015,45,12,FALSE,3,92,PEPE,TRUE
2015,45,12,TRUE,2,71,ROWN,FALSE
2015,46,12,FALSE,1,107,AGUS,TRUE
2015,46,12,TRUE,5,68,CART,FALSE
2015,47,12,FALSE,8,93,CHAR,FALSE
2015,47,12,TRUE,7,108,GRIZ,TRUE
2015,48,13,FALSE,4,96,BILL,FALSE
2015,48,13,TRUE,2,137,ROWN,TRUE
2015,49,13,FALSE,5,92,CART,FALSE
2015,49,13,TRUE,6,100,KIER,TRUE
2015,50,13,FALSE,7,128,GRIZ,TRUE
2015,50,13,TRUE,3,118,PEPE,FALSE
2015,51,13,FALSE,8,59,CHAR,FALSE
2015,51,13,TRUE,1,89,AGUS,TRUE
2015,52,14,FALSE,8,226,CHAR,TRUE
2015,52,14,TRUE,6,146,KIER,FALSE
2015,53,14,FALSE,2,157,ROWN,FALSE
2015,53,14,TRUE,4,209,BILL,TRUE
2015,54,14,FALSE,3,248,PEPE,TRUE
2015,54,14,TRUE,5,221,CART,FALSE
2015,55,14,FALSE,1,205,AGUS,TRUE
2015,55,14,TRUE,7,107,GRIZ,FALSE
2015,56,15,FALSE,8,197,CHAR,TRUE
2015,56,15,TRUE,4,154,BILL,FALSE
2015,57,15,FALSE,2,208,ROWN,TRUE
2015,57,15,TRUE,6,189,KIER,FALSE
2015,58,15,FALSE,1,228,AGUS,TRUE
2015,58,15,TRUE,3,184,PEPE,FALSE
2015,59,15,FALSE,7,163,GRIZ,FALSE
2015,59,15,TRUE,5,170,CART,TRUE
2016,0,1,FALSE,11,78.96,KYLE,TRUE
2016,0,1,TRUE,3,76.84,PEPE,FALSE
2016,1,1,FALSE,10,121.42,NICK,TRUE
2016,1,1,TRUE,8,93.96,CHAR,FALSE
2016,2,1,FALSE,6,106.1,KIER,FALSE
2016,2,1,TRUE,9,117.3,COLN,TRUE
2016,3,1,FALSE,1,98.82,AGUS,FALSE
2016,3,1,TRUE,4,111.54,BILL,TRUE
2016,4,1,FALSE,5,95.66,CART,TRUE
2016,4,1,TRUE,2,78.68,ROWN,FALSE
2016,5,2,FALSE,10,118.32,NICK,FALSE
2016,5,2,TRUE,11,126.52,KYLE,TRUE
2016,6,2,FALSE,3,105.56,PEPE,TRUE
2016,6,2,TRUE,6,78.48,KIER,FALSE
2016,7,2,FALSE,8,125.56,CHAR,TRUE
2016,7,2,TRUE,1,82.26,AGUS,FALSE
2016,8,2,FALSE,9,100.66,COLN,TRUE
2016,8,2,TRUE,5,96.62,CART,FALSE
2016,9,2,FALSE,4,83.88,BILL,TRUE
2016,9,2,TRUE,2,55.12,ROWN,FALSE
2016,10,3,FALSE,11,97.98,KYLE,FALSE
2016,10,3,TRUE,6,114.24,KIER,TRUE
2016,11,3,FALSE,1,93.52,AGUS,FALSE
2016,11,3,TRUE,10,98.34,NICK,TRUE
2016,12,3,FALSE,5,112.9,CART,TRUE
2016,12,3,TRUE,3,69.98,PEPE,FALSE
2016,13,3,FALSE,2,106.2,ROWN,TRUE
2016,13,3,TRUE,8,76.5,CHAR,FALSE
2016,14,3,FALSE,4,67.66,BILL,FALSE
2016,14,3,TRUE,9,73.58,COLN,TRUE
2016,15,4,FALSE,1,96.76,AGUS,TRUE
2016,15,4,TRUE,11,90.6,KYLE,FALSE
2016,16,4,FALSE,6,85.66,KIER,FALSE
2016,16,4,TRUE,5,113.38,CART,TRUE
2016,17,4,FALSE,10,93.74,NICK,TRUE
2016,17,4,TRUE,2,84.12,ROWN,FALSE
2016,18,4,FALSE,3,128.22,PEPE,TRUE
2016,18,4,TRUE,4,72.3,BILL,FALSE
2016,19,4,FALSE,8,85.12,CHAR,TRUE
2016,19,4,TRUE,9,77.04,COLN,FALSE
2016,20,5,FALSE,11,111.7,KYLE,FALSE
2016,20,5,TRUE,5,113.96,CART,TRUE
2016,21,5,FALSE,2,109.64,ROWN,TRUE
2016,21,5,TRUE,1,100.86,AGUS,FALSE
2016,22,5,FALSE,4,110.82,BILL,TRUE
2016,22,5,TRUE,6,109.68,KIER,FALSE
2016,23,5,FALSE,9,65.6,COLN,FALSE
2016,23,5,TRUE,10,111.66,NICK,TRUE
2016,24,5,FALSE,8,94.08,CHAR,TRUE
2016,24,5,TRUE,3,92.78,PEPE,FALSE
2016,25,6,FALSE,2,107.34,ROWN,TRUE
2016,25,6,TRUE,11,79.68,KYLE,FALSE
2016,26,6,FALSE,5,116.06,CART,TRUE
2016,26,6,TRUE,4,85.56,BILL,FALSE
2016,27,6,FALSE,1,42.9,AGUS,FALSE
2016,27,6,TRUE,9,85.56,COLN,TRUE
2016,28,6,FALSE,6,144.68,KIER,TRUE
2016,28,6,TRUE,8,74.3,CHAR,FALSE
2016,29,6,FALSE,10,109.94,NICK,TRUE
2016,29,6,TRUE,3,85.62,PEPE,FALSE
2016,30,7,FALSE,11,86.04,KYLE,TRUE
2016,30,7,TRUE,4,79.14,BILL,FALSE
2016,31,7,FALSE,9,127.02,COLN,TRUE
2016,31,7,TRUE,2,112.58,ROWN,FALSE
2016,32,7,FALSE,8,97.62,CHAR,FALSE
2016,32,7,TRUE,5,130.54,CART,TRUE
2016,33,7,FALSE,3,82.96,PEPE,TRUE
2016,33,7,TRUE,1,77.56,AGUS,FALSE
2016,34,7,FALSE,10,97.28,NICK,TRUE
2016,34,7,TRUE,6,77.02,KIER,FALSE
2016,35,8,FALSE,9,104.56,COLN,TRUE
2016,35,8,TRUE,11,80.3,KYLE,FALSE
2016,36,8,FALSE,4,48.98,BILL,FALSE
2016,36,8,TRUE,8,98.92,CHAR,TRUE
2016,37,8,FALSE,2,103.2,ROWN,FALSE
2016,37,8,TRUE,3,107.12,PEPE,TRUE
2016,38,8,FALSE,5,116.54,CART,TRUE
2016,38,8,TRUE,10,106.6,NICK,FALSE
2016,39,8,FALSE,1,85.42,AGUS,FALSE
2016,39,8,TRUE,6,105,KIER,TRUE
2016,40,9,FALSE,11,112.78,KYLE,FALSE
2016,40,9,TRUE,8,115.76,CHAR,TRUE
2016,41,9,FALSE,3,146.72,PEPE,TRUE
2016,41,9,TRUE,9,72.66,COLN,FALSE
2016,42,9,FALSE,10,119.42,NICK,TRUE
2016,42,9,TRUE,4,70.4,BILL,FALSE
2016,43,9,FALSE,6,85.14,KIER,TRUE
2016,43,9,TRUE,2,56.86,ROWN,FALSE
2016,44,9,FALSE,1,92.64,AGUS,FALSE
2016,44,9,TRUE,5,136.58,CART,TRUE
2016,45,10,FALSE,3,85.9,PEPE,FALSE
2016,45,10,TRUE,11,102.46,KYLE,TRUE
2016,46,10,FALSE,8,86.08,CHAR,FALSE
2016,46,10,TRUE,10,125.42,NICK,TRUE
2016,47,10,FALSE,9,87.96,COLN,FALSE
2016,47,10,TRUE,6,94.6,KIER,TRUE
2016,48,10,FALSE,4,85.74,BILL,FALSE
2016,48,10,TRUE,1,118.12,AGUS,TRUE
2016,49,10,FALSE,2,93.94,ROWN,FALSE
2016,49,10,TRUE,5,100.94,CART,TRUE
2016,50,11,FALSE,11,118.32,KYLE,TRUE
2016,50,11,TRUE,10,72.9,NICK,FALSE
2016,51,11,FALSE,6,94.48,KIER,TRUE
2016,51,11,TRUE,3,81.9,PEPE,FALSE
2016,52,11,FALSE,1,85.48,AGUS,FALSE
2016,52,11,TRUE,8,96.68,CHAR,TRUE
2016,53,11,FALSE,5,83.74,CART,TRUE
2016,53,11,TRUE,9,73.18,COLN,FALSE
2016,54,11,FALSE,2,105.1,ROWN,TRUE
2016,54,11,TRUE,4,98.78,BILL,FALSE
2016,55,12,FALSE,6,95.66,KIER,TRUE
2016,55,12,TRUE,11,77.2,KYLE,FALSE
2016,56,12,FALSE,10,112.7,NICK,TRUE
2016,56,12,TRUE,1,84.24,AGUS,FALSE
2016,57,12,FALSE,3,85.44,PEPE,FALSE
2016,57,12,TRUE,5,106.32,CART,TRUE
2016,58,12,FALSE,8,138.56,CHAR,TRUE
2016,58,12,TRUE,2,92.34,ROWN,FALSE
2016,59,12,FALSE,9,100.84,COLN,TRUE
2016,59,12,TRUE,4,73.34,BILL,FALSE
2016,60,13,FALSE,11,96.96,KYLE,TRUE
2016,60,13,TRUE,1,95.98,AGUS,FALSE
2016,61,13,FALSE,5,103.56,CART,FALSE
2016,61,13,TRUE,6,108.92,KIER,TRUE
2016,62,13,FALSE,2,73.66,ROWN,FALSE
2016,62,13,TRUE,10,88.84,NICK,TRUE
2016,63,13,FALSE,4,56.76,BILL,FALSE
2016,63,13,TRUE,3,77.24,PEPE,TRUE
2016,64,13,FALSE,9,99.56,COLN,FALSE
2016,64,13,TRUE,8,113.08,CHAR,TRUE
2016,65,14,FALSE,8,157.62,CHAR,FALSE
2016,65,14,TRUE,5,184.72,CART,TRUE
2016,66,14,FALSE,6,225.33999999999997,KIER,TRUE
2016,66,14,TRUE,10,215.84,NICK,FALSE
2016,67,14,FALSE,11,172.06,KYLE,TRUE
2016,67,14,TRUE,9,153.07999999999998,COLN,FALSE
2016,68,14,FALSE,2,201.56,ROWN,TRUE
2016,68,14,TRUE,4,192.32,BILL,FALSE
2016,69,14,FALSE,1,122.06,AGUS,FALSE
2016,69,14,TRUE,3,184.32,PEPE,TRUE
2016,70,15,FALSE,6,213.76,KIER,TRUE
2016,70,15,TRUE,5,208.98000000000002,CART,FALSE
2016,71,15,FALSE,8,244.82,CHAR,TRUE
2016,71,15,TRUE,10,153.06,NICK,FALSE
2016,72,15,FALSE,2,172.5,ROWN,TRUE
2016,72,15,TRUE,9,170.26,COLN,FALSE
2016,73,15,FALSE,3,176,PEPE,TRUE
2016,73,15,TRUE,11,148.07999999999998,KYLE,FALSE
2016,74,15,FALSE,1,182.22,AGUS,FALSE
2016,74,15,TRUE,4,208.38,BILL,TRUE
2017,0,1,FALSE,11,95,KYLE,TRUE
2017,0,1,TRUE,3,91.88,PEPE,FALSE
2017,1,1,FALSE,10,110.84,NICK,TRUE
2017,1,1,TRUE,8,84.12,CHAR,FALSE
2017,2,1,FALSE,6,95.14,KIER,TRUE
2017,2,1,TRUE,9,80.36,COLN,FALSE
2017,3,1,FALSE,1,58.72,AGUS,FALSE
2017,3,1,TRUE,4,71.54,BILL,TRUE
2017,4,1,FALSE,5,92.84,CART,TRUE
2017,4,1,TRUE,2,63.58,ROWN,FALSE
